[ 2015-02-23T21:54:24+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001430s ]
[ 2015-02-23T21:54:24+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --START--
[ 2015-02-23T21:54:24+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000374s ]
[ 2015-02-23T21:54:24+08:00 ] /thinkphpTest/index.php/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000424s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ route_check ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run CheckRoute Behavior [ RunTime:0.001943s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.002080s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ app_begin ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001343s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001423s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.005835s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=1 LIMIT 1   [ RunTime:0.004317s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | SQL: SELECT * FROM `think_article` LEFT JOIN think_category on think_article.categoryId=think_category.categoryId WHERE isSubmitted=1 LIMIT 5,5   [ RunTime:0.000741s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | NOTIC: [8] Undefined variable: next_link_cate IndexAction.class.php 第 28 行.
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | SQL: SHOW COLUMNS FROM `think_category` [ RunTime:0.002240s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | SQL: SELECT * FROM `think_category`  [ RunTime:0.002261s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_template ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.002238s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.002318s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_parse ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | NOTIC: [8] Undefined index:  memo 7e4848229090366086cc7eeb3bfc0798.php 第 43 行.
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.018691s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018768s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_filter ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run ContentReplace Behavior [ RunTime:0.000956s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run TokenBuild Behavior [ RunTime:0.000868s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000685s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.001165s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003856s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_end ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000913s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000969s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ route_check ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run CheckRoute Behavior [ RunTime:0.000770s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000867s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ app_begin ] --START--
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000508s ]
[ 2015-02-23T21:54:48+08:00 ] /thinkphpTest/index.php/Index/index/page/2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000561s ]
