[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_filter ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run ContentReplace Behavior [ RunTime:0.000823s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run TokenBuild Behavior [ RunTime:0.000826s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000698s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run ShowRuntime Behavior [ RunTime:0.001322s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003849s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_end ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001030s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/108 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001101s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001205s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001372s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000746s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000867s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.009759s ]
[ 2015-03-02T00:05:22+08:00 ] /thinkphpTest/admin.php/Article/editDraft/id/resources/images/closelabel.gif | SQL: SELECT * FROM `think_article` WHERE id=resources LIMIT 1   [ RunTime:0.005488s ]
